name,author,publisher,genre,read
Yüzyıllık Yalnızlık,Gabriel Garcia Marquez,Can Yayınları,Roman,Hayır
Çanlar Kimin İçin Çalıyor,Ernest Hemingway,Kumsaati Yayınları,Klasik,Hayır
Kendime Düşünceler,Marcus Aurelius,İş Bankası Kültür Yayınları,Felsefe,Hayır
İvan İlyiç'in Ölümü,Tolstoy,İş Bankası Kültür Yayınları,Klasik,Hayır
New York Seyir Defteri,Buket Uzuner,Everest Yayınları,Gezi Yazısı,Hayır
Savaş Sanatı,Sun Tzu,Arya Yayıncılık,Felsefe,Evet
Kuşlar da Gitti,Yaşar Kemal,Yapı Kredi Yayınları,Türk Edebiyatı,Evet
Yılanı Öldürseler,Yaşar Kemal,Yapı Kredi Yayınları,Türk Edebiyatı,Evet
Bir Ada Hikayesi 1: Fırat Suyu Kan Akıyor Baksana,Yaşar Kemal,Yapı Kredi Yayınları,Türk Edebiyatı,Hayır
Martin Eden (Orijinal),Jack London,Karbon Kitaplar,Modern Klasik,Hayır
Güzel Sarı Tuna,Jules Verne,Tübitak,Roman,Hayır
Macellanya,Jules Verne,Tübitak,Roman,Hayır
The Catcher In The Rye,J. D. Salinger,Penguin Books,Evet
Dalgalar,Virginia Woolf,İndigo Kitap,Roman,Hayır
Ethical Hacking: Offensive & Defensive,Ömer Çıtak,Level Kitap,Bilgisayar,Hayır
Lügat 365: Bazı Kelimeler Çok Güzel,Can Yayınları,Can Yayınları,Dil,Hayır
Mesaj,Edip Yüksel,Ozan Yayıncılık,Din,Hayır
Babalar ve Oğullar,Turgenyev,Can Yayınları,Klasik,Hayır
Vakıf,Asimov,İthaki,Bilim Kurgu,Hayır
Vakıf ve İmparatorluk,Asimov,İthaki,Bilim Kurgu,Hayır
İkinci Vakıf,Asimov,İthaki,Bilim Kurgu,Hayır
Salgın,Erin Bowman,Epsilon Yayınevi,Bilim Kurgu,Evet
The Book of M: Kıyamet Başlıyor,Peng Shepherd,Ephesus Yayınları,Bilim Kurgu,Hayır
Semerkant,Amin Maalouf,Yapı Kredi Yayınları,Roman,Hayır
Hayvan Çiftliği,George Orwell,Can Yayınları,Roman,Hayır
İlaca Dair,Ayşe İncesu GÜrsel,Tübitak,Bilim,Hayır
Şifalı Bitkiler,Haranki ve Haranki,Hayat Yayınları,Başvuru,Hayır
Burada Ejderhalar Yaşar,James A. Owen,Tudem Yayınevi,Fantastik,Hayır
Kızıl Ejderi Ararken,James A. Owen,Tudem Yayınevi,Fantastik,Hayır
Çivit Kral,James A. Owen,Tudem Yayınevi,Fantastik,Hayır
Narnia Günlükleri 1: Büyücünün Çırağı,C. S. Lewis,Doğan Egmont Çocuk Kitapları,Çocuk Fantastik,Hayır
Narnia Günlükleri 2: Aslan Cadı ve Dolap,C. S. Lewis,Doğan Egmont Çocuk Kitapları,Çocuk Fantastik,Hayır
Narnia Günlükleri 3: At ve Çocuk,C. S. Lewis,Doğan Egmont Çocuk Kitapları,Çocuk Fantastik,Hayır
Narnia Günlükleri 4: Prens Caspian,C. S. Lewis,Doğan Egmont Çocuk Kitapları,Çocuk Fantastik,Hayır
Narnia Günlükleri 5: Şafak Yıldızı'nın Yolculuğu,C. S. Lewis,Doğan Egmont Çocuk Kitapları,Çocuk Fantastik,Hayır
